ophcf2_protein,beau_protein,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
KAF4594441.1,XP_008593879.1,0,1788,0,1770
KAF4594442.1,XP_008593878.1,0,743,0,749
KAF4594443.1,XP_008593874.1,3.61E-169,484,2.58E-169,484
KAF4594444.1,XP_008593871.1,1.37E-134,384,3.48E-137,390
KAF4594446.1,XP_008593870.1,1.26E-180,521,0,523
KAF4594447.1,XP_008593869.1,9.17E-91,260,6.72E-91,260
KAF4594448.1,XP_008593868.1,0,918,0,912
KAF4594449.1,XP_008593867.1,0,1495,0,1466
KAF4594450.1,XP_008593866.1,2.79E-135,390,1.43E-144,414
KAF4594451.1,XP_008593865.1,0,684,0,729
KAF4594452.1,XP_008593862.1,0,944,0,944
KAF4594456.1,XP_008593858.1,2.41E-40,126,2.00E-40,126
KAF4594457.1,XP_008593857.1,8.82E-140,420,3.25E-133,403
KAF4594458.1,XP_008593856.1,0,840,0,870
KAF4594459.1,XP_008593854.1,0,1496,0,1585
KAF4594461.1,XP_008593852.1,0,536,0,550
KAF4594462.1,XP_008600592.1,0,2855,0,2893
KAF4594463.1,XP_008600589.1,1.06E-97,309,1.98E-102,322
KAF4594464.1,XP_008600587.1,2.05E-94,271,1.37E-94,271
KAF4594465.1,XP_008600588.1,0,780,0,780
KAF4594466.1,XP_008594264.1,0,550,0,550
KAF4594467.1,XP_008600544.1,0,757,0,757
KAF4594468.1,XP_008596781.1,0,719,0,720
KAF4594469.1,XP_008603664.1,0,703,0,703
KAF4594471.1,XP_008603663.1,0,558,0,538
KAF4594472.1,XP_008603263.1,3.37E-90,256,2.45E-90,256
KAF4594474.1,XP_008603656.1,0,1751,0,1766
KAF4594475.1,XP_008603521.1,0,1002,0,1020
KAF4594476.1,XP_008603522.1,0,610,0,587
KAF4594477.1,XP_008603564.1,0,2078,0,1987
KAF4594479.1,XP_008603057.1,4.50E-47,166,2.05E-47,166
KAF4594480.1,XP_008601586.1,4.22E-166,463,2.98E-166,463
KAF4594481.1,XP_008603650.1,0,887,0,887
KAF4594482.1,XP_008603649.1,3.04E-96,294,5.91E-102,308
KAF4594483.1,XP_008603517.1,0,863,0,863
KAF4594484.1,XP_008603518.1,2.92E-80,236,6.15E-89,257
KAF4594485.1,XP_008603519.1,5.81E-122,351,4.34E-122,351
KAF4594487.1,XP_008603520.1,0,830,0,850
KAF4594488.1,XP_008599116.1,2.58E-40,130,1.68E-40,130
KAF4594489.1,XP_008599117.1,0,1002,0,976
KAF4594490.1,XP_008603056.1,0,560,0,560
KAF4594491.1,XP_008603561.1,0,563,0,563
KAF4594492.1,XP_008603562.1,0,761,0,733
KAF4594494.1,XP_008600274.1,0,815,0,815
KAF4594495.1,XP_008600275.1,2.23E-143,400,1.61E-143,400
KAF4594496.1,XP_008600276.1,0,854,0,852
KAF4594497.1,XP_008600277.1,1.08E-97,286,5.22E-83,249
KAF4594498.1,XP_008600279.1,0,536,0,536
KAF4594499.1,XP_008600280.1,0,654,0,668
KAF4594501.1,XP_008600282.1,0,657,0,623
KAF4594502.1,XP_008600283.1,8.78E-108,309,6.12E-108,309
KAF4594503.1,XP_008600284.1,0,714,0,714
KAF4594504.1,XP_008600285.1,0,1051,0,1029
KAF4594505.1,XP_008600286.1,4.23E-40,148,3.18E-40,148
KAF4594506.1,XP_008600287.1,4.33E-71,209,2.99E-72,212
KAF4594507.1,XP_008594210.1,2.69E-166,473,9.45E-161,459
KAF4594509.1,XP_008600289.1,0,1132,0,1123
KAF4594510.1,XP_008600291.1,4.98E-100,293,1.36E-99,291
KAF4594511.1,XP_008600292.1,3.59E-120,338,3.88E-124,347
KAF4594512.1,XP_008600293.1,0,632,0,632
KAF4594514.1,XP_008600295.1,0,651,0,651
KAF4594516.1,XP_008600297.1,0,751,0,750
KAF4594518.1,XP_008600298.1,1.20E-48,148,8.35E-49,148
KAF4594519.1,XP_008600299.1,0,745,0,753
KAF4594520.1,XP_008600301.1,0,1322,0,1320
KAF4594523.1,XP_008600302.1,0,1029,0,1006
KAF4594524.1,XP_008600303.1,8.11E-132,371,3.01E-136,382
KAF4594525.1,XP_008600304.1,0,745,0,763
KAF4594526.1,XP_008600305.1,2.89E-12,56.2,3.98E-13,57.8
KAF4594528.1,XP_008600306.1,0,707,0,907
KAF4594529.1,XP_008600307.1,2.04E-122,357,1.36E-122,357
KAF4594531.1,XP_008600309.1,0,2460,0,2525
KAF4594532.1,XP_008603426.1,0,1045,0,1024
KAF4594534.1,XP_008599119.1,0,533,0,558
KAF4594535.1,XP_008601403.1,0,878,0,731
KAF4594536.1,XP_008601402.1,0,713,0,703
KAF4594538.1,XP_008601401.1,5.59E-95,277,3.30E-92,269
KAF4594539.1,XP_008601400.1,1.58E-175,523,0,542
KAF4594541.1,XP_008601396.1,8.96E-116,361,1.07E-135,412
KAF4594542.1,XP_008601395.1,0,1073,0,1051
KAF4594543.1,XP_008601394.1,0,821,0,831
KAF4594544.1,XP_008594530.1,1.96E-52,169,2.23E-56,179
KAF4594545.1,XP_008594476.1,2.59E-85,255,1.84E-85,255
KAF4594546.1,XP_008594475.1,7.39E-171,481,2.17E-170,479
KAF4594547.1,XP_008594474.1,0,1013,0,988
KAF4594548.1,XP_008594512.1,2.37E-98,286,1.72E-98,286
KAF4594549.1,XP_008594511.1,1.71E-56,170,8.16E-55,165
KAF4594550.1,XP_008594510.1,0,1221,0,1190
KAF4594551.1,XP_008594509.1,4.86E-117,333,3.41E-117,333
KAF4594552.1,XP_008594508.1,1.17E-94,271,7.99E-95,271
KAF4594553.1,XP_008594507.1,7.13E-66,196,1.70E-52,162
KAF4594554.1,XP_008594506.1,3.89E-139,400,3.94E-126,366
KAF4594556.1,XP_008594504.1,0,575,0,554
KAF4594558.1,XP_008597621.1,1.45E-125,365,2.06E-122,357
KAF4594559.1,XP_008597622.1,2.90E-135,393,1.23E-148,427
KAF4594560.1,XP_008597623.1,0,531,0,523
KAF4594563.1,XP_008597625.1,0,1162,0,1169
KAF4594565.1,XP_008597628.1,0,2130,0,2112
KAF4594567.1,XP_008597629.1,3.98E-59,181,9.53E-67,200
KAF4594570.1,XP_008597635.1,7.58E-126,368,7.49E-111,330
KAF4594571.1,XP_008597636.1,2.31E-87,261,2.73E-88,263
KAF4594572.1,XP_008597637.1,3.45E-140,434,1.08E-140,435
KAF4594574.1,XP_008597638.1,0,763,0,785
KAF4594576.1,XP_008597640.1,0,771,0,801
KAF4594577.1,XP_008597643.1,6.03E-66,234,6.32E-75,259
KAF4594578.1,XP_008597644.1,4.26E-12,59.3,3.20E-15,67
KAF4594579.1,XP_008597645.1,0,810,0,735
KAF4594580.1,XP_008597648.1,0,2110,0,2111
KAF4594581.1,XP_008597558.1,4.10E-133,407,7.77E-134,408
KAF4594582.1,XP_008597557.1,1.05E-138,406,3.13E-143,417
KAF4594583.1,XP_008597556.1,2.23E-167,490,1.19E-163,481
KAF4594585.1,XP_008597555.1,0,1617,0,1618
KAF4594586.1,XP_008597554.1,8.76E-46,151,2.78E-51,165
KAF4594588.1,XP_008597553.1,4.12E-53,162,1.87E-53,162
KAF4594590.1,XP_008597551.1,0,970,0,970
KAF4594591.1,XP_008597550.1,4.61E-74,219,8.21E-68,203
KAF4594592.1,XP_008597549.1,0,649,0,653
KAF4594593.1,XP_008597548.1,2.73E-82,253,4.76E-83,254
KAF4594594.1,XP_008597547.1,1.14E-58,179,8.15E-59,179
KAF4594595.1,XP_008597545.1,4.29E-103,290,3.29E-103,290
KAF4594597.1,XP_008597544.1,0,765,0,759
KAF4594598.1,XP_008597543.1,3.23E-142,419,1.73E-158,461
KAF4594599.1,XP_008594249.1,2.28E-163,496,4.51E-177,532
KAF4594600.1,XP_008594248.1,7.14E-31,102,5.58E-31,102
KAF4594601.1,XP_008594247.1,0,939,0,929
KAF4594602.1,XP_008594246.1,6.65E-136,395,1.73E-135,393
KAF4594607.1,XP_008594252.1,0,690,0,690
KAF4594608.1,XP_008594254.1,7.56E-168,480,3.57E-160,461
KAF4594609.1,XP_008594255.1,1.24E-139,394,2.72E-136,385
KAF4594611.1,XP_008594256.1,0,1946,0,1925
KAF4594614.1,XP_008594258.1,1.39E-73,229,3.86E-77,237
KAF4594615.1,XP_008594261.1,0,549,0,521
KAF4594616.1,XP_008594262.1,2.01E-14,69.3,3.52E-19,82
KAF4594617.1,XP_008594265.1,1.35E-119,382,3.05E-118,378
KAF4594618.1,XP_008594266.1,5.91E-20,80.9,5.64E-21,83.2
KAF4594619.1,XP_008594267.1,0,510,0,499
KAF4594620.1,XP_008594268.1,0,678,0,659
KAF4594624.1,XP_008594269.1,1.40E-166,476,3.41E-163,468
KAF4594625.1,XP_008594270.1,1.99E-139,404,9.35E-146,420
KAF4594626.1,XP_008594271.1,1.08E-163,456,7.77E-164,456
KAF4594627.1,XP_008594272.1,0,628,0,608
KAF4594628.1,XP_008593449.1,0,1153,0,1174
KAF4594629.1,XP_008593448.1,5.24E-48,146,3.75E-48,146
KAF4594630.1,XP_008593447.1,0,1264,0,1259
KAF4594632.1,XP_008593445.1,0,1095,0,1098
KAF4594634.1,XP_008593444.1,0,848,0,868
KAF4594635.1,XP_008593443.1,3.55E-157,447,1.59E-157,447
KAF4594636.1,XP_008593441.1,1.56E-99,292,2.32E-106,309
KAF4594637.1,XP_008593440.1,0,1292,0,1307
KAF4594639.1,XP_008593438.1,1.09E-81,238,5.02E-88,253
KAF4594640.1,XP_008593437.1,1.20E-145,411,2.76E-146,412
KAF4594642.1,XP_008593436.1,4.30E-48,153,7.79E-53,165
KAF4594644.1,XP_008593434.1,1.38E-132,376,3.05E-120,344
KAF4594645.1,XP_008593428.1,0,522,0,536
KAF4594648.1,XP_008593426.1,0,1639,0,1639
KAF4594649.1,XP_008593425.1,0,674,0,699
KAF4594650.1,XP_008593423.1,2.49E-60,191,1.49E-59,189
KAF4594651.1,XP_008593420.1,4.38E-118,337,7.28E-122,346
KAF4594652.1,XP_008593662.1,0,548,0,548
KAF4594653.1,XP_008593661.1,2.26E-72,219,1.89E-72,219
KAF4594655.1,XP_008593659.1,5.39E-47,143,3.09E-45,138
KAF4594657.1,XP_008594754.1,0,566,0,576
KAF4594658.1,XP_008594753.1,8.57E-138,410,4.22E-144,426
KAF4594659.1,XP_008593344.1,1.00E-26,100,6.18E-33,116
KAF4594660.1,XP_008593343.1,1.48E-123,362,6.91E-131,381
KAF4594661.1,XP_008593342.1,1.18E-51,179,2.83E-65,214
KAF4594662.1,XP_008593895.1,0,989,0,980
KAF4594663.1,XP_008593341.1,0,510,0,510
KAF4594664.1,XP_008593340.1,2.12E-44,137,1.52E-44,137
KAF4594665.1,XP_008593334.1,0,561,0,593
KAF4594666.1,XP_008593335.1,0,782,0,800
KAF4594668.1,XP_008593333.1,0,790,0,790
KAF4594669.1,XP_008593332.1,1.44E-103,310,1.17E-92,281
KAF4594670.1,XP_008593331.1,1.14E-34,114,4.14E-31,104
KAF4594671.1,XP_008593330.1,0,1102,0,1100
KAF4594672.1,XP_008593327.1,2.87E-72,222,8.73E-70,215
KAF4594673.1,XP_008593326.1,0,696,0,682
KAF4594675.1,XP_008601286.1,0,1295,0,1337
KAF4594676.1,XP_008601285.1,0,714,0,719
KAF4594677.1,XP_008601284.1,1.68E-115,361,2.26E-115,361
KAF4594678.1,XP_008601283.1,5.57E-116,357,1.65E-119,366
KAF4594679.1,XP_008601282.1,2.52E-25,90.1,4.65E-26,91.7
KAF4594680.1,XP_008601281.1,0,657,0,672
KAF4594681.1,XP_008601280.1,0,519,0,504
KAF4594682.1,XP_008601279.1,1.31E-128,380,5.23E-128,379
KAF4594683.1,XP_008601278.1,1.66E-71,209,1.72E-71,209
KAF4594684.1,XP_008601276.1,0,538,0,553
KAF4594686.1,XP_008601275.1,2.01E-143,427,8.34E-144,427
KAF4594687.1,XP_008601450.1,1.90E-59,197,3.46E-61,202
KAF4594688.1,XP_008601274.1,0,710,0,717
KAF4594689.1,XP_008601273.1,0,783,0,743
KAF4594690.1,XP_008601272.1,1.19E-79,273,2.18E-79,272
KAF4594691.1,XP_008601271.1,0,598,0,600
KAF4594692.1,XP_008601233.1,0,676,0,669
KAF4594693.1,XP_008601235.1,1.45E-62,199,1.43E-63,201
KAF4594694.1,XP_008601236.1,7.47E-91,265,5.24E-91,265
KAF4594695.1,XP_008601237.1,0,949,0,949
KAF4594697.1,XP_008602731.1,0,612,0,614
KAF4594698.1,XP_008601217.1,0,848,0,868
KAF4594699.1,XP_008601216.1,8.44E-155,442,0,512
KAF4594700.1,XP_008601209.1,0,511,0,511
KAF4594701.1,XP_008601210.1,4.26E-163,480,3.89E-153,454
KAF4594703.1,XP_008601212.1,8.05E-134,388,3.67E-143,411
KAF4594704.1,XP_008601213.1,1.04E-89,270,7.24E-100,296
KAF4594705.1,XP_008601214.1,1.34E-37,122,1.65E-37,121
KAF4594706.1,XP_008601215.1,0,785,0,805
KAF4594710.1,XP_008601207.1,3.05E-122,342,2.17E-122,342
KAF4594711.1,XP_008601206.1,0,1447,0,1429
KAF4594712.1,XP_008601293.1,0,1177,0,1145
KAF4594713.1,XP_008596809.1,3.76E-38,143,6.89E-42,154
KAF4594714.1,XP_008601294.1,3.32E-167,475,2.75E-173,490
KAF4594715.1,XP_008601295.1,0,847,0,847
KAF4594716.1,XP_008601297.1,0,687,0,680
KAF4594717.1,XP_008603030.1,1.08E-119,344,1.03E-119,344
KAF4594718.1,XP_008603031.1,0,545,0,548
KAF4594719.1,XP_008603032.1,4.83E-43,135,4.95E-43,135
KAF4594720.1,XP_008603033.1,5.02E-92,282,1.02E-94,288
KAF4594721.1,XP_008603034.1,2.30E-135,380,9.61E-137,383
KAF4594728.1,XP_008602683.1,9.98E-33,127,9.17E-33,127
KAF4594729.1,XP_008603048.1,0,820,0,796
KAF4594730.1,XP_008603049.1,0,892,0,907
KAF4594731.1,XP_008602354.1,0,907,0,892
KAF4594732.1,XP_008603052.1,2.11E-143,410,4.98E-150,427
KAF4594733.1,XP_008603053.1,0,912,0,932
KAF4594734.1,XP_008603054.1,0,613,0,588
KAF4594735.1,XP_008603055.1,3.14E-125,352,2.24E-125,352
KAF4594739.1,XP_008601980.1,1.69E-74,236,4.58E-71,227
KAF4594740.1,XP_008603455.1,2.02E-58,188,9.30E-59,189
KAF4594741.1,XP_008603043.1,0,987,0,976
KAF4594743.1,XP_008603036.1,0,642,0,653
KAF4594744.1,XP_008603035.1,0,509,1.87E-173,489
KAF4594745.1,XP_008601289.1,4.83E-119,341,4.56E-111,320
KAF4594746.1,XP_008601290.1,0,1360,0,1331
KAF4594747.1,XP_008601291.1,0,749,0,769
KAF4594748.1,XP_008601292.1,0,609,0,564
KAF4594751.1,XP_008593507.1,0,962,0,987
KAF4594752.1,XP_008593506.1,0,889,0,889
KAF4594753.1,XP_008593505.1,1.19E-28,108,1.15E-26,102
KAF4594754.1,XP_008595286.1,0,580,0,557
KAF4594755.1,XP_008595287.1,0,575,0,575
KAF4594756.1,XP_008595288.1,4.40E-61,192,2.54E-46,154
KAF4594757.1,XP_008595291.1,5.33E-167,468,1.18E-167,469
KAF4594758.1,XP_008595292.1,0,930,0,976
KAF4594760.1,XP_008595293.1,0,611,0,612
KAF4594761.1,XP_008595294.1,8.03E-170,490,7.59E-173,497
KAF4594762.1,XP_008595295.1,0,3217,0,3220
KAF4594763.1,XP_008595296.1,4.27E-55,172,3.18E-56,174
KAF4594764.1,XP_008595298.1,0,699,0,687
KAF4594765.1,XP_008595299.1,0,838,0,899
KAF4594766.1,XP_008595300.1,0,895,0,787
KAF4594767.1,XP_008595301.1,3.03E-53,194,1.83E-51,188
KAF4594768.1,XP_008595303.1,6.44E-57,181,3.84E-57,181
KAF4594769.1,XP_008599333.1,0,1400,0,1417
KAF4594770.1,XP_008599332.1,1.73E-50,170,1.34E-50,170
KAF4594771.1,XP_008599331.1,4.89E-49,150,3.44E-49,150
KAF4594772.1,XP_008599330.1,7.57E-175,533,0,558
KAF4594774.1,XP_008597652.1,3.97E-176,496,7.52E-159,452
KAF4594776.1,XP_008597651.1,4.90E-86,261,1.51E-74,231
KAF4594777.1,XP_008593503.1,0,1067,0,1097
KAF4594778.1,XP_008595625.1,0,747,0,747
KAF4594780.1,XP_008598263.1,1.25E-136,409,3.51E-128,387
KAF4594782.1,XP_008593451.1,3.06E-136,389,2.19E-136,389
KAF4594784.1,XP_008593494.1,1.97E-154,450,9.01E-150,437
KAF4594785.1,XP_008593493.1,1.88E-141,399,8.23E-142,400
KAF4594786.1,XP_008593492.1,0,1320,0,1320
KAF4594787.1,XP_008593458.1,3.97E-102,307,5.26E-107,320
KAF4594788.1,XP_008593459.1,0,914,0,914
KAF4594789.1,XP_008597653.1,0,648,0,611
KAF4594790.1,XP_008597654.1,0,800,0,800
KAF4594792.1,XP_008597655.1,0,931,0,948
KAF4594793.1,XP_008594539.1,5.69E-154,444,6.05E-152,439
KAF4594794.1,XP_008594540.1,0,566,0,560
KAF4594795.1,XP_008593499.1,0,1191,0,1191
KAF4594796.1,XP_008593500.1,0,1612,0,1688
KAF4594798.1,XP_008593491.1,0,1709,0,1697
KAF4594802.1,XP_008593497.1,0,1685,0,1663
KAF4594803.1,XP_008593453.1,1.83E-66,198,1.27E-66,198
KAF4594804.1,XP_008593454.1,4.20E-57,174,7.22E-45,143
KAF4594805.1,XP_008593455.1,1.99E-164,455,1.50E-164,455
KAF4594806.1,XP_008593456.1,5.77E-44,137,3.96E-44,137
KAF4594808.1,XP_008593498.1,1.88E-49,171,1.99E-47,166
KAF4594809.1,XP_008593450.1,7.37E-69,214,4.98E-84,253
KAF4594810.1,XP_008593461.1,0,527,0,557
KAF4594813.1,XP_008593465.1,0,839,0,848
KAF4594814.1,XP_008594273.1,4.98E-144,398,3.60E-144,398
KAF4594815.1,XP_008594274.1,0,671,0,666
KAF4594816.1,XP_008594275.1,0,1187,0,1194
KAF4594817.1,XP_008594276.1,0,529,0,529
KAF4594818.1,XP_008594277.1,1.80E-91,271,1.88E-99,291
KAF4594819.1,XP_008594279.1,0,699,0,699
KAF4594822.1,XP_008594288.1,0,1016,0,979
KAF4594825.1,XP_008594290.1,2.03E-116,350,2.21E-105,321
KAF4594826.1,XP_008594293.1,5.32E-146,417,1.89E-151,430
KAF4594827.1,XP_008594294.1,0,1363,0,1373
KAF4594828.1,XP_008594295.1,3.14E-168,467,2.08E-168,467
KAF4594829.1,XP_008594296.1,0,1228,0,1228
KAF4594830.1,XP_008594297.1,0,1048,0,1023
KAF4594831.1,XP_008594298.1,3.57E-85,245,2.53E-85,245
KAF4594832.1,XP_008594299.1,0,565,0,583
KAF4594833.1,XP_008594300.1,3.19E-10,58.2,9.32E-09,53.1
KAF4594834.1,XP_008593324.1,0,1548,0,1508
KAF4594834.1,XP_008598035.1,0,1605,0,1627
KAF4594835.1,XP_008594302.1,5.94E-135,389,1.56E-132,382
KAF4594840.1,XP_008601630.1,4.45E-58,179,2.85E-68,205
KAF4594841.1,XP_008601629.1,9.80E-167,476,4.49E-167,477
KAF4594844.1,XP_008602800.1,0,851,0,849
KAF4594845.1,XP_008602802.1,2.47E-138,389,1.23E-134,380
KAF4594846.1,XP_008602804.1,1.23E-122,373,1.84E-101,318
KAF4594847.1,XP_008600622.1,4.58E-154,455,4.91E-132,398
KAF4594851.1,XP_008601637.1,8.33E-137,383,6.91E-137,383
KAF4594852.1,XP_008601636.1,0,1009,0,1019
KAF4594853.1,XP_008601635.1,0,1328,0,1342
KAF4594854.1,XP_008601634.1,1.12E-32,107,1.14E-36,117
KAF4594855.1,XP_008602795.1,0,727,0,717
KAF4594856.1,XP_008602793.1,0,584,0,584
KAF4594857.1,XP_008596330.1,0,678,0,652
KAF4594862.1,XP_008596314.1,1.07E-180,511,2.98E-178,504
KAF4594863.1,XP_008596313.1,0,1175,0,1138
KAF4594864.1,XP_008596312.1,0,833,0,832
KAF4594867.1,XP_008596214.1,0,1498,0,1490
KAF4594868.1,XP_008596074.1,0,893,0,884
KAF4594869.1,XP_008596092.1,0,3962,0,3960
KAF4594870.1,XP_008596096.1,3.49E-76,238,4.78E-80,248
KAF4594873.1,XP_008596099.1,4.43E-76,225,4.61E-70,209
KAF4594874.1,XP_008595515.1,2.11E-109,323,1.21E-98,295
KAF4594875.1,XP_008598819.1,0,954,0,936
KAF4594876.1,XP_008598820.1,4.75E-178,510,7.31E-178,509
KAF4594878.1,XP_008596416.1,0,621,0,622
KAF4594879.1,XP_008596414.1,0,570,0,570
KAF4594880.1,XP_008596413.1,0,1042,0,1047
KAF4594881.1,XP_008596412.1,0,704,0,719
KAF4594882.1,XP_008596411.1,0,523,0,544
KAF4594883.1,XP_008596406.1,5.63E-155,434,2.10E-155,435
KAF4594884.1,XP_008596405.1,0,514,0,522
KAF4594885.1,XP_008597893.1,0,1054,0,1012
KAF4594887.1,XP_008597932.1,1.91E-119,342,1.47E-119,342
KAF4594888.1,XP_008597931.1,6.28E-156,460,2.49E-161,474
KAF4594889.1,XP_008596402.1,0,551,0,533
KAF4594892.1,XP_008596404.1,1.72E-106,307,2.17E-106,306
KAF4594893.1,XP_008600163.1,0,955,0,946
KAF4594895.1,XP_008601751.1,0,585,0,588
KAF4594896.1,XP_008593828.1,0,555,0,579
KAF4594897.1,XP_008593827.1,0,642,0,650
KAF4594898.1,XP_008602501.1,0,990,0,987
KAF4594899.1,XP_008602502.1,0,876,0,897
KAF4594900.1,XP_008602503.1,0,768,0,768
KAF4594901.1,XP_008602504.1,1.93E-67,204,1.27E-67,204
KAF4594902.1,XP_008602505.1,2.55E-180,494,1.82E-180,494
KAF4594904.1,XP_008601013.1,3.65E-16,67.4,1.90E-16,67.4
KAF4594905.1,XP_008601014.1,0,770,0,787
KAF4594906.1,XP_008601015.1,6.02E-121,338,5.25E-121,338
KAF4594907.1,XP_008601016.1,1.41E-180,526,0,536
KAF4594908.1,XP_008594934.1,2.99E-92,275,1.02E-96,286
KAF4594909.1,XP_008601020.1,0,676,0,636
KAF4594910.1,XP_008601021.1,6.17E-54,180,3.30E-55,183
KAF4594911.1,XP_008595718.1,0,710,0,717
KAF4594912.1,XP_008601158.1,7.96E-108,311,5.63E-108,311
KAF4594913.1,XP_008602494.1,0,529,0,529
KAF4594918.1,XP_008598933.1,2.62E-105,312,2.59E-103,307
KAF4594919.1,XP_008597364.1,1.66E-107,314,6.72E-101,296
KAF4594920.1,XP_008598966.1,8.30E-124,369,5.93E-124,369
KAF4594921.1,XP_008598330.1,0,682,0,681
KAF4594922.1,XP_008600450.1,1.50E-29,112,1.22E-28,109
KAF4594924.1,XP_008600845.1,0,636,0,659
KAF4594925.1,XP_008596543.1,5.60E-159,466,3.72E-165,481
KAF4594926.1,XP_008596545.1,0,788,0,788
KAF4594927.1,XP_008596546.1,8.57E-50,153,3.68E-52,159
KAF4594928.1,XP_008596547.1,0,556,0,551
KAF4594929.1,XP_008597144.1,0,1411,0,1411
KAF4594930.1,XP_008602064.1,7.78E-69,228,6.17E-65,218
KAF4594931.1,XP_008603383.1,0,527,0,532
KAF4594932.1,XP_008603382.1,0,673,0,660
KAF4594934.1,XP_008598210.1,0,514,0,518
KAF4594935.1,XP_008598209.1,2.29E-139,404,4.38E-144,416
KAF4594936.1,XP_008598201.1,0,853,0,865
KAF4594937.1,XP_008598202.1,0,929,0,925
KAF4594938.1,XP_008598203.1,0,680,0,694
KAF4594939.1,XP_008598204.1,0,754,0,743
KAF4594940.1,XP_008598206.1,3.92E-69,215,1.16E-71,221
KAF4594941.1,XP_008598208.1,0,701,0,676
KAF4594942.1,XP_008598207.1,0,577,0,598
KAF4594943.1,XP_008594070.1,2.27E-28,116,3.47E-24,103
KAF4594946.1,XP_008598166.1,2.67E-101,303,1.98E-106,316
KAF4594947.1,XP_008594072.1,0,1485,0,1507
KAF4594948.1,XP_008594073.1,1.45E-149,423,1.04E-152,430
KAF4594949.1,XP_008594074.1,0,598,0,623
KAF4594951.1,XP_008599378.1,3.10E-165,469,5.15E-155,442
KAF4594952.1,XP_008594076.1,0,1083,0,1212
KAF4594953.1,XP_008594077.1,7.83E-64,195,1.04E-71,215
KAF4594954.1,XP_008594078.1,5.67E-29,101,3.55E-34,114
KAF4594955.1,XP_008594079.1,0,977,0,936
KAF4594956.1,XP_008600451.1,1.06E-76,231,3.77E-94,276
KAF4594957.1,XP_008596542.1,0,729,0,716
KAF4594959.1,XP_008598219.1,2.03E-51,176,6.83E-50,172
KAF4594960.1,XP_008597434.1,8.14E-66,197,2.40E-67,201
KAF4594961.1,XP_008597435.1,0,811,4.08E-141,433
KAF4594962.1,XP_008597436.1,0,1422,0,1403
KAF4594963.1,XP_008597437.1,0,998,0,1004
KAF4594965.1,XP_008597445.1,0,527,0,527
KAF4594966.1,XP_008597446.1,0,1800,0,1792
KAF4594967.1,XP_008595841.1,6.12E-59,181,2.10E-60,185
KAF4594968.1,XP_008595840.1,0,617,0,617
KAF4594969.1,XP_008595839.1,0,682,0,674
KAF4594970.1,XP_008595999.1,2.68E-109,333,9.74E-106,323
KAF4594971.1,XP_008595998.1,1.68E-55,166,1.16E-55,166
KAF4594972.1,XP_008595997.1,0,1002,0,725
KAF4594973.1,XP_008595996.1,1.22E-129,401,1.61E-125,389
KAF4594974.1,XP_008595995.1,0,739,0,739
KAF4594975.1,XP_008595994.1,0,1973,0,1948
KAF4594976.1,XP_008595993.1,3.47E-121,342,4.21E-119,337
KAF4594977.1,XP_008595992.1,8.44E-108,353,4.50E-115,372
KAF4594978.1,XP_008595991.1,0,762,0,754
KAF4594979.1,XP_008595990.1,6.04E-132,369,4.17E-132,369
KAF4594980.1,XP_008595831.1,0,894,0,916
KAF4594981.1,XP_008595830.1,0,605,0,643
KAF4594982.1,XP_008595829.1,3.09E-148,452,2.45E-147,449
KAF4594983.1,XP_008595828.1,8.12E-147,438,3.32E-166,488
KAF4594985.1,XP_008595826.1,0,1196,0,1224
KAF4594986.1,XP_008595825.1,3.88E-127,365,8.63E-132,377
KAF4594987.1,XP_008596780.1,0,704,0,682
KAF4594989.1,XP_008595822.1,0,515,0,540
KAF4594990.1,XP_008595821.1,0,1224,0,1269
KAF4594991.1,XP_008595820.1,0,804,0,801
KAF4594992.1,XP_008599959.1,0,996,0,1018
KAF4594993.1,XP_008599960.1,3.78E-126,364,2.73E-126,364
KAF4594994.1,XP_008599962.1,1.78E-72,211,1.18E-72,211
KAF4594995.1,XP_008599963.1,8.46E-48,145,5.84E-48,145
KAF4594996.1,XP_008599964.1,3.10E-74,246,2.56E-95,301
KAF4594997.1,XP_008599965.1,6.14E-149,429,2.98E-159,455
KAF4594998.1,XP_008598163.1,0,1292,0,1276
KAF4594999.1,XP_008598164.1,1.57E-35,131,4.05E-34,127
KAF4595000.1,XP_008598197.1,0,666,0,688
KAF4595001.1,XP_008598196.1,0,570,0,563
KAF4595002.1,XP_008598195.1,1.65E-71,210,1.28E-71,210
KAF4595004.1,XP_008598193.1,0,584,0,584
KAF4595005.1,XP_008598192.1,0,956,0,942
KAF4595006.1,XP_008598191.1,0,1331,0,1293
KAF4595007.1,XP_008598190.1,0,872,0,907
KAF4595008.1,XP_008598189.1,8.33E-128,369,3.50E-129,373
KAF4595009.1,XP_008598187.1,1.84E-127,364,2.52E-125,358
KAF4595010.1,XP_008598185.1,6.88E-175,504,3.46E-171,494
KAF4595011.1,XP_008598184.1,4.62E-56,168,2.29E-49,150
KAF4595012.1,XP_008598183.1,0,954,0,955
KAF4595014.1,XP_008598179.1,0,738,0,738
KAF4595015.1,XP_008598178.1,2.00E-94,273,1.35E-96,279
KAF4595016.1,XP_008598177.1,5.36E-140,400,3.61E-140,400
KAF4595018.1,XP_008598332.1,0,743,0,766
KAF4595020.1,XP_008601494.1,1.14E-63,211,6.53E-64,211
